"","SHHADID","SPANEL","SSUID","SWAVE","PNUM","MONTHCODE","WPFINWGT","TAGE","EDUCATION","SEX","RACE","METRO_STATUS","EMPLOYMENT_TYPE","CLASS_OF_WORKER","TFTOTINC","ANY_RETIREMENT_ACCESS","PARTICIPATING","MATCHING","TJB1_JOBHRS1","TOTYEARINC","in_age_range","FULL_PART_TIME"
"1",11,2021,11428546521,2,101,12,7426.11654053637,64,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",2169,"No","No","No",35,26028,"yes","full time"
"2",11,2021,11428546521,2,102,12,9616.79127564342,21,"Some college","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",2064,"No","No","No",40,24768,"yes","full time"
"3",11,2022,11428577022,1,101,12,9260.63065858155,32,"Some college","Female","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",11836,"Yes","Yes","Yes",40,142032,"yes","full time"
"4",11,2022,12889229422,1,101,12,9638.01307543499,21,"Some college","Male","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",725,"No","No","No",23,8700,"yes","part time"
"5",11,2022,37909398822,1,101,12,5860.26449120755,19,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",588,"No","No","No",25,7056,"yes","part time"
"6",11,2022,41804907022,1,102,12,4322.36961515346,78,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",6291,"No","No","No",24,75492,"no","part time"
"7",11,2022,41804977022,1,102,12,4055.70569243652,57,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",9155,"Yes","Yes","Yes",45,109860,"yes","full time"
"8",11,2022,41806820722,1,101,12,3991.40172160544,34,"Bachelor's degree or higher","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2400,"No","No","No",20,28800,"yes","part time"
"9",11,2020,41808629120,3,101,12,20093.4082519703,30,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",10928,"Yes","Yes","Yes",40,131136,"yes","full time"
"10",11,2021,41809214921,2,101,12,6387.53294056754,31,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",13873,"Yes","Yes","Yes",55,166476,"yes","full time"
"11",11,2021,41809214921,2,102,12,6387.53294056754,31,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",13873,"Yes","Yes","Yes",50,166476,"yes","full time"
"12",11,2020,41809229420,3,101,12,7850.46740406926,67,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",10863,"Yes","Yes","Yes",45,130356,"no","full time"
"13",11,2022,41810124322,1,101,12,3757.22994529717,62,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",1758,"No","No","No",30,21096,"yes","part time"
"14",11,2022,41810155322,1,101,12,7670.842536256,36,"Bachelor's degree or higher","Male","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",50357,"Yes","Yes","Yes",50,604284,"yes","full time"
"15",11,2022,41810155322,1,102,12,7670.842536256,32,"Some college","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",50357,"Yes","Yes","Yes",38,604284,"yes","full time"
"16",11,2021,41813614921,2,102,12,7487.29699808373,33,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",11515,"Yes","Yes","Yes",45,138180,"yes","full time"
"17",11,2022,41813677322,1,102,12,13117.2370789682,20,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2408,"No","No","No",40,28896,"yes","full time"
"18",11,2022,41817261322,1,102,12,8289.18015437745,54,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",8812,"Yes","Yes","Yes",40,105744,"yes","full time"
"19",11,2021,41817288721,2,102,12,7371.39801398125,46,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",6618,"Yes","Yes","Yes",55,79416,"yes","full time"
"20",11,2022,41819923322,1,101,12,8643.57596099045,43,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",12160,"Yes","Yes","Yes",40,145920,"yes","full time"
"21",11,2022,41819936022,1,101,12,8941.94836561164,37,"Bachelor's degree or higher","Female","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",9432,"No","No","No",45,113184,"yes","full time"
"22",11,2020,41820931620,3,101,12,13992.8244124603,38,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3326,"Yes","Yes","Yes",40,39912,"yes","full time"
