"","SHHADID","SPANEL","SSUID","SWAVE","PNUM","MONTHCODE","WPFINWGT","TAGE","EDUCATION","SEX","RACE","METRO_STATUS","EMPLOYMENT_TYPE","CLASS_OF_WORKER","TFTOTINC","ANY_RETIREMENT_ACCESS","PARTICIPATING","MATCHING","TJB1_JOBHRS1","TOTYEARINC","in_age_range","FULL_PART_TIME"
"1","011",2023,"00011428574623",1,102,12,4373.56974152538,63,"High School or less","Female","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",14285,"Yes","Yes","Yes",40,171420,"yes","full time"
"2","041",2020,"00013364117220",4,301,12,7127.30910878487,22,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3650,"No","No","No",40,43800,"yes","full time"
"3","011",2023,"00041804946523",1,101,12,4939.1261075377,49,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",12057,"Yes","Yes","Yes",40,144684,"yes","full time"
"4","011",2023,"00041804946523",1,102,12,6789.45551547293,25,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",12057,"Yes","Yes","Yes",40,144684,"yes","full time"
"5","011",2023,"00041804946523",1,103,12,6229.71287998865,23,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",12057,"No","No","No",40,144684,"yes","full time"
"6","011",2022,"00041806820722",2,101,12,5913.93365504199,34,"Bachelor's degree or higher","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",1838,"No","No","No",20,22056,"yes","part time"
"7","011",2023,"00041806883123",1,101,12,2916.13282013652,53,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3756,"No","No","No",50,45072,"yes","full time"
"8","011",2020,"00041808629120",4,101,12,16064.5787539346,31,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",12852,"Yes","Yes","Yes",40,154224,"yes","full time"
"9","011",2023,"00041808636023",1,102,12,4678.46724280822,31,"High School or less","Female","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3169,"No","No","No",30,38028,"yes","part time"
"10","011",2021,"00041809214921",3,102,12,6892.55540843025,32,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",14423,"Yes","Yes","Yes",50,173076,"yes","full time"
"11","011",2023,"00041809220723",1,101,12,4228.0795048227,44,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",40867,"Yes","Yes","Yes",66,490404,"yes","full time"
